screen_name,in_reply_to_screen_name,mentions,full_text
dekodawatson57,,[],Golfing today at Champions They better remove anything valuable and any innocent bystanders lol 
dekodawatson57,princesschuntee,[u'princesschuntee'],lol so weak 
dekodawatson57,princesschuntee,[u'princesschuntee'],gots to be more careful Lmbo 
dekodawatson57,SLeeling,[u'SLeeling'],wrong type of fishing Lmbo 
dekodawatson57,,[],YALL HELP A BROTHER OUT Lmbo STRIPER FISHING 
dekodawatson57,lesadkins,[u'lesadkins'],nooooooo lmbo STRIPER 
dekodawatson57,,[],Stripper fishing with my pops early this morning Y'all stay tuned 
dekodawatson57,,[],Wow Crazy game 
dekodawatson57,,[],Baby girl Molly is so tired Only puppy out here hunting She just want to cuddle and ride in the golf cart 
dekodawatson57,,[],We knocked down 10 rabbits so far Still going 
dekodawatson57,,[],Color Race Religion and Beliefs should be intriguing not feared 
dekodawatson57,,[],The great people you run into at the airport Husband father NFL vet celebrity barber and friend my man 
dekodawatson57,derek_torrez03,[u'derek_torrez03'],Help is different But when ppl constantly doing silly things that's not benefitting them then that's where I draw the line 
dekodawatson57,,[],So many ppl want/need but want hand outs Get your butt up and work for yours Let's teach our younger generation better 
dekodawatson57,,[],Should I go to Houston 
dekodawatson57,,[],Love spending time with my other family and Specially with my beautiful niece she just makes your heart melt 
dekodawatson57,,[],Only been a few weeks and missing it already 
dekodawatson57,,[],Going to Orlando to support my boys in the pro bowl 
dekodawatson57,,[],My Baby Bubba and I 
dekodawatson57,,[],Back to Jersey to see my Baby Bubba I'm coming son 
dekodawatson57,BroncosOffField,"[u'BroncosOffField', u'MOOCHIE048', u'NFLFLAG', u'Broncos']",what?? Y'all couldn't get anybody better? Lol 
dekodawatson57,,[],Dang the weather kicked me straight in the nads today Wasn't ready for this lol 
dekodawatson57,,[],It's feels good to know you have genuine ppl in your corner 
dekodawatson57,meekoromeel,[u'meekoromeel'],giant 
dekodawatson57,,[],Really appreciate the help everyone But now to a more important question Where should I watch the game lol? 
dekodawatson57,,[],What do you take when you start to see signs of strep throat? 
dekodawatson57,,[],Level 34 on zombies Not bad We can do much better though 
dekodawatson57,Huntinglife87,[u'Huntinglife87'],looks amazing 
dekodawatson57,Zapmom,[u'Zapmom'],I'm traveling so I'm not just staying in Denver I've left twice since the offseason 
dekodawatson57,,[],Hmmmmwhat to do today 
dekodawatson57,Huntinglife87,[u'Huntinglife87'],you here in Denver or no? 
dekodawatson57,,[],trying to go next time? 
dekodawatson57,,[],Ripped it today at Copper Mountain I grew my beard for this moment lol 
dekodawatson57,mau_scarcella,[u'mau_scarcella'],preciate it I will 
dekodawatson57,,[],Good morning world Going snowboarding this AM 
dekodawatson57,Huntinglife87,[u'Huntinglife87'],yes I love it 
dekodawatson57,BroncosOffField,[u'BroncosOffField'],that's a tough question I loved any all all that dealt with kids 
dekodawatson57,Zapmom,[u'Zapmom'],and still experiencing where's my favorite 
dekodawatson57,Zapmom,"[u'Zapmom', u'DeMarcusWare']",lol I was in tears 
