screen_name,in_reply_to_screen_name,mentions,full_text
rockorocky,,[],
rockorocky,Jclark21_,[u'Jclark21_'],
rockorocky,,[],Ahhh lil bro proud of u maneContinue putting n work 
rockorocky,,[u'lionsroarnews'],RT Robert Alford had a MVP worthy performance in Super Bowl 51 Alford is the first Lion to have played in the Super htt 
rockorocky,,"[u'AtlantaFalcons', u'DjShockley3', u'rockorocky']",RT Robert Alford had a big night on Sunday breaks down the pick-six 
rockorocky,,[u'TrainingMask'],Focused Getting a little edge to get in the zone for 
rockorocky,,[u'rootsoffight'],DB UNITY coming thru with the jackets 
rockorocky,,"[u'SPORTSTARSNYC', u'Sprayground']",My agents always looking out for me Best in the business This x custom bag is 
rockorocky,,[],HAPPY to announce the Falcons and I have agreed to a contract extension Each day were going to get better &amp; bring ATL to the Super Bowl 
rockorocky,,[u'Parrot'],Enjoying my new toy from Thanks for hooking the kidd Up 
rockorocky,,[u'P2'],It was cool to see the homie on Sunday 
rockorocky,,[u'gmfb'],Enjoyed spending some time with the good people at this morning Appreciate the love 
rockorocky,,"[u'gmfb', u'AtlantaFalcons', u'rockorocky']",RT We are joined next by CB Robert Alford (@rockorocky) on 
rockorocky,,[u'KingJames'],RT Zero Dark Thirty- 23 activated 
rockorocky,,"[u'JayArtigues', u'SLUFootball']",RT WINS Good road win Back home next week in 
rockorocky,,[u'rockorocky'],RT Hey u can't get every call but all that matter is a Team VictoryGreat win tonight with the homies#RiseUp 
rockorocky,,[],Ya feel meh 
rockorocky,,[],Hey u can't get every call but all that matter is a Team VictoryGreat win tonight with the homies#RiseUp 
rockorocky,,[],
rockorocky,,[],
rockorocky,,[],Thanks to everyone for their Birthday wishes Much Love 
rockorocky,,[],
rockorocky,,[],
rockorocky,,[],
rockorocky,,[],
rockorocky,,[],
rockorocky,,[],
rockorocky,,"[u'LionAthAssoc', u'rockorocky']",RT Happy B-Day 
rockorocky,,[],
rockorocky,,[],
rockorocky,,[],Great Team Victory tonight#RiseUp 
rockorocky,,"[u'Realrclark25', u'rockorocky', u'PFF', u'AtlantaFalcons']",RT RT Top-graded today LB Deion Jones 893 QB Matt Ryan 876 CB Robert Alford 
rockorocky,,[],Always give thanksGod is Good#HustleHighHateLowTAT 
rockorocky,,[],
rockorocky,,[],Kluber 
rockorocky,,[u'MikeConti929'],RT NFL Ranks Robert Alford 4th in passes defended Julio Jones 2nd in total yds Eric Weems 5th in punt ret avg Matt Bryan 
rockorocky,,[],
rockorocky,,[u'Realrclark25'],I kno big bro will have the scoop tomorrow for me#KnowledgeIsPower 
rockorocky,,[],Words to the youth#DreamBig 
rockorocky,,"[u'sluathletics', u'CoachRonRoberts', u'JayArtigues']",4eva a lionLove the trailer for homecoming week 
rockorocky,,[],
rockorocky,,[],He's a on time God#Blessed 
rockorocky,,"[u'Floater_22', u'robertmville', u'cdoubleU_5', u'favor_Island']",MF neva loved usHustleHighHatLow 
rockorocky,,"[u'sluathletics', u'CoachRonRoberts']",Yep yep &amp; breath athletes#LionUp 
rockorocky,,[],Watch out for these snakes and fakes Friends come a dime a dozen Be an individual work hard Study get your mind sharp trust nobody 
rockorocky,,[],For where you have envy and selfish ambition there you find disorder and every evil practice James 316 
rockorocky,,[],I keep my eyes always on the Lord With him at my right hand I will not be shaken Psalm 168 
rockorocky,,[],
rockorocky,,[],Trust in the Lord forever for the Lord the Lord himself is the Rock eternal Isaiah 264 
