screen_name,in_reply_to_screen_name,mentions,full_text
StevanRidley,,[],Jazlin has this amazing soul that can get you through any kind of blizzard 
StevanRidley,,[],Thankful 
StevanRidley,,[],Ricky Ross richforever 
StevanRidley,,[],Mama Pops I Love You 
StevanRidley,,"[u'Chan95Jones', u'SweetFeet_White', u'StevanRidley']",jonnybones 
StevanRidley,ShaneVereen34,[u'ShaneVereen34'],
StevanRidley,,[],Best Feeling Ever 
StevanRidley,,"[u'SNFonNBC', u'StevanRidley']",RT BELICHICK SELFIE ALERT The Best picture from photo day was taken by on his cell phone 
StevanRidley,,[],THAT BOY BILL BELICHICK 
StevanRidley,,[],Greatest QB Ever 
StevanRidley,,[],Just posted a photo 
StevanRidley,,[],Big thanks to for having me out to fun showing how to use 
StevanRidley,,"[u'OBJ_3', u'Visa']",Checkout my lil bro making money 1-handed catches I see a Checkout in his futureLOL 
StevanRidley,,[],
StevanRidley,BreauxShow24,[u'BreauxShow24'],whoa now Your journey is an example of the Lords favor and it's gonna inspire so many people Welcome to the league 
StevanRidley,,[],PATS WIN The hating begins 
StevanRidley,,[u'DannyAmendola'],Y'all show the homie FAT STACKS some love 
StevanRidley,,[],Wabbit Season No Duck Season 
StevanRidley,,[],Feeding the beast before we feast 
StevanRidley,,"[u'RobGronkowski', u'Chan95Jones', u'ShaneVereen34', u'DannyAmendola']",My guyyyyss 
StevanRidley,,[],
StevanRidley,kirdybear,[u'kirdybear'],love ya too 
StevanRidley,,[],Last supper before I go under Appreciate all the love and support 
StevanRidley,,[],Have A Day Jonas Gray 
StevanRidley,,[],Understand a setback in any aspect of life is only a true test of faith While doing the thing I love 
StevanRidley,LG_Blount,[u'LG_Blount'],Mr Cleo They just need to go ahead and let you host ESPN huh? 
StevanRidley,,[],
StevanRidley,TideNFL,[u'TideNFL'],We bleed that red white and blue 
StevanRidley,,[],Just posted a photo 
StevanRidley,DragonflyJones9,[],
StevanRidley,FunnyGuySam,[u'FunnyGuySam'],lol you're a funny guy Sam 
StevanRidley,,[],Dream your dreams with your eyes closed but live your dreams with your eyes open 
StevanRidley,MooreChrys,[u'MooreChrys'],that's off the chain 
StevanRidley,,[],Mama always told me to play outside 
StevanRidley,,[u'BIGKRIT'],delivers again He's been doing it for years and is giving it all to us for free 
StevanRidley,,[],Fear kills more dreams than failure ever will 
StevanRidley,,[],Today the only message is love 
StevanRidley,,[],If the whole world was blind how many people would you really impress? 
StevanRidley,AVoiceOfTheKing,[],amen bro What you do is bigger than anything that most people think they are doing today 
StevanRidley,TideNFL,[u'TideNFL'],All you folks gotta do is click that RT button and this digital jersey is yours 
StevanRidley,,[],I thank God for my family my friends and all my fans 
StevanRidley,Talktoheel,[u'HeelSpace'],lol stay cool bro 
StevanRidley,TheRipleyEffect,[u'TheRipleyEffect'],your mom is off the chain for that 
StevanRidley,,[],Just posted a video 
StevanRidley,,[],Switching lanes with the homies 
JoeVellanoDT,,"[u'diamond_legends', u'JimmyG_10', u'JoeVellanoDT', u'seanstellato', u'diamond_legends']",RT Don't miss out Reserve your ticket 888-789-4825 Dec 9 6-8pm 
JoeVellanoDT,,"[u'diamond_legends', u'JimmyG_10', u'JoeVellanoDT', u'seanstellato', u'WarwickMall']",RT December 9th 6-8pm at Call 888-789-4825 to reserve your ticket h 
JoeVellanoDT,,"[u'diamond_legends', u'JimmyG_10', u'diamond_legends', u'WarwickMall']",RT Want to meet Call to reserve your ticket for December 9th at 888-789-4825 h 
JoeVellanoDT,,"[u'seanstellato', u'BNBuzz', u'JoeVellanoDT']",RT Today Barnes&amp;Noble Prudentialmeet Patriots autographs photos with great x-mas gift copy http 
